mercato;Brand;Anno Fondazione brand;Descrizione Brand;Nome Profumo;Sottofamiglia olfattiva;Anno;Naso Creatore;ml;Prezzo (€);Note di Testa;Note di Cuore;Note di Fondo;Nota Distintiva;Codice EAN;"Link Fragrantica;";Nazionalità
nicchia;Lorenzo Pazzaglia;2015;Brand italiano nato dalla passione di uno chef per fragranze estreme.;Summer Hammer;Ambrata Dolce - Gourmand;2023;Lorenzo Pazzaglia;50;145;Mango, Ananas, Cocco;Note Marine, Fiori Bianchi;Rum, Sandalo, Muschio;Mango, Rum, Cocco, Ananas, Sandal;8056515150013;"https://www.fragrantica.it/perfume/Lorenzo-Pazzaglia/Summer-Hammer-80252.html;";Italia
nicchia;Nasomatto;2007;Fragranze estreme e iconiche per collezionisti.;Black Afgano;Legnosa Orientale Oud;2009;Alessandro Gualtieri;30;130;Cannabis, Note Verdi;Resine, Note Legnose, Caffè;Oud, Incenso;Cannabis, Resine, Oud;8717624960418;"https://www.fragrantica.it/perfume/Nasomatto/Black-Afgano-6472.html;";Paesi Bassi
nicchia;Frederic Malle;2000;Alta profumeria concettuale con creatività dei grandi nasi.;Portrait of a Lady;Ambrata Floreale;2010;Dominique Ropion;100;335;Rosa, Chiodi di Garofano;Lampone, Ribes Nero;Patchouli, Incenso, Sandalo;Rosa, Patchouli, Incenso;3700138560027;"https://www.fragrantica.it/perfume/Frederic-Malle/Portrait-of-a-Lady-10464.html;";Francia
nicchia;By Kilian;2007;Lusso parigino ispirato al cognac tra seduzione e ricaricabilità.;Angels' Share;Ambrata Dolce - Gourmand;2020;Benoist Lapouza;50;225;Cognac;Cannella, Fava Tonka, Quercia;Vaniglia, Pralina, Sandalo;Cognac, Cannella, Fava Tonka;3700550218463;"https://www.fragrantica.it/perfume/By-Kilian/Angels-Share-62615.html;";Francia
nicchia;Maison Crivelli;2018;Momenti sensoriali reali vissuti durante viaggi attraverso il mondo.;Hibiscus Mahajad;Floreale Fruttata;2021;Quentin Bisch;50;200;Ibisco, Menta;Rosa, Cannella;Vaniglia, Cuoio, Ambra;Ibisco, Antracite;3760303540203;"https://www.fragrantica.it/perfume/Maison-Crivelli/Hibiscus-Mahajad-69162.html;";Francia
nicchia;BDK Parfums;2016;Libreria olfattiva parigina situata nel cuore del Palais Royal.;Gris Charnel;Ambrata Legnosa;2019;Mathilde Bijaoui;100;170;Cardamomo, Fico, Tè Nero;Iris, Vetiver;Sandalo, Fava Tonka;Sandalo, Fico, Tè nero;3760264450160;"https://www.fragrantica.it/perfume/BDK-Parfums/Gris-Charnel-57506.html;";Francia
nicchia;Jeroboam;2015;"Estratti intensi creati per gli enigmatici ""nomadi urbani"".";Gozo;Floreale Legnosa Muschiata;2020;Vanina Muracciole;30;110;Zafferano, Tuberosa;Geranio, Foglie di Violetta;Muschio Bianco, Patchouli, Cedro;Tuberosa, Muschio;3760156711103;"https://www.fragrantica.it/perfume/Jeroboam/Gozo-59642.html;";Francia
nicchia;Parfums de Marly;2009;Lusso francese con omaggio all’epoca di Luigi XV.;Valaya;Floreale Aldeidica;2023;Quentin Bisch;75;285;Aldeidi, Mandarino, Pesca;Fiori d'Arancio, Mughetto;Muschio, Ambroxan, Akigalawood;Aldeidi;3700578502288;"https://www.fragrantica.it/perfume/Parfums-de-Marly/Valaya-78602.html;";Francia
nicchia;Matiere Premiere;2019;Focus sull'eccellenza di singole materie prime portate all'estremo.;Vanilla Powder;Ambrata Dolce - Gourmand;2023;Aurélien Guichard;100;240;Polvere di Riso;Cocco;Vaniglia, Muschio Bianco;Vaniglia, Paolo Santo;3760273752538;"https://www.fragrantica.it/perfume/Matiere-Premiere/Vanilla-Powder-84518.html;";Francia
nicchia;Creed;1760;Icona di nicchia con note fruttate e affumicate.;Aventus;Chypre Fruttata;2010;Jean-Christophe Hérault;100;325;Bergamotto, Ribes Nero, Mela;Betulla, Patchouli, Gelsomino;Musk, Muschio di Quercia, Vaniglia;Ananas, Betulla, Muschio Quercia;3508441001114;"https://www.fragrantica.it/perfume/Creed/Aventus-9828.html;";Francia/UK
nicchia;Kajal;2014;Fonde ispirazione parigina con l'opulenza orientale dorata.;Lamar;Floreale Fruttata;2020;Mark Buxton;100;209;Mela, Ananas, Cardamomo;Rosa, Gelsomino, Magnolia;Vaniglia, Muschio, Ambra;Ananas, Frutti Rossi, Rosa;3760310210175;"https://www.fragrantica.it/perfume/Kajal/Lamar-60475.html;";Emirati Arabi
nicchia;Simone Andreoli;2011;Diario olfattivo italiano che cattura ricordi di viaggi lontani.;Leisure in Paradise;Ambrata Dolce - Gourmand;2020;Simone Andreoli;100;155;Papaya, Cocco;Pesca, Vaniglia;Legni Dolci, Muschio;Papaia, Cocco, Vaniglia;8055681290001;"https://www.fragrantica.it/perfume/Simone-Andreoli/Leisure-in-Paradise-59918.html;";Italia
nicchia;Liquides Imaginaires;2012;Fragranze concepite come pozioni mistiche per elevare lo spirito.;Blanche Bête;Floreale Muschiata;2021;Louise Turner;100;265;Latte, Ambretta;Tuberosa, Mahonial;Vaniglia, Muschio, Fava Tonka;Latte, Muschio, Fiori Bianchi;3760302220472;"https://www.fragrantica.it/perfume/Les-Liquides-Imaginaires/Blanche-Bete-70337.html;";Francia
nicchia;Initio Parfums;2015;Esplora il potere dei feromoni e l'attrazione chimica istintiva.;Musk Therapy;Floreale Muschiata;2021;Initio Team;90;280;Bergamotto, Mandarino;Muschio Bianco, Magnolia;Sandalo, Muschio Rosa;Muschio Bianco, Magnolia, Mandarino;3701415901004;"https://www.fragrantica.it/perfume/Initio-Parfums-Prives/Musk-Therapy-65415.html;";Francia
nicchia;Marc-Antoine Barrois;2016;Haute couture francese incontra l’avanguardia olfattiva.;Tilia;Floreale Legnosa Muschiata;2024;Quentin Bisch;100;200;Tiglio, Ginestra;Eliotropio, Vetiver;Ambroxan, Georgywood;Tiglio, Ginestra, Georgywood;3770011855217;"https://www.fragrantica.it/perfume/Marc-Antoine-Barrois/Tilia-91757.html;";Francia
nicchia;Ex Nihilo;2013;Creatività parigina d'avanguardia per celebrare i dieci anni del brand.;Blue Talisman;Agrumata Legnosa;2023;Jordi Fernández;100;280;Bergamotto, Zenzero, Pera;Fiore d'Arancio, Georgywood;Ambrofix, Muschio, Akigalawood;Pera, Bergamotto, Akigalawood;3760139578563;"https://www.fragrantica.it/perfume/Ex-Nihilo/Blue-Talisman-84381.html;";Francia
nicchia;Tauer Perfumes;2005;Alta profumeria artigianale svizzera con eleganza orientale.;L'Air du Désert Mar.;Ambrata Speziata;2005;Andy Tauer;50;165;Coriandolo, Cumino;Rosa, Gelsomino;Ambra, Cedro, Vetiver;Coriandolo, Cumino, Ambra;7640127380011;"https://www.fragrantica.it/perfume/Tauer-Perfumes/02-L-Air-du-Desert-Marocain-2221.html;";Svizzera
nicchia;Byredo;2006;Brand minimalista con fragranze evanescenti e artigianali.;Gypsy Water;Legnosa Aromatica;2008;Jérôme Epinette;50;155;Ginepro, Limone, Pepe;Aghi di Pino, Incenso, Iris;Vaniglia, Sandalo, Ambra;Ginepro, Pino, Sandalo;7340032806168;"https://www.fragrantica.it/perfume/Byredo/Gypsy-Water-3575.html;";Svezia
nicchia;Pantheon Roma;2013;Celebra storie d'amore rinascimentali con estratti di altissima qualità.;Annone;Legnosa Orientale Oud;2018;Arturetto Landi;100;235;Zafferano, Mango;Rosa, Iris;Oud, Nagarmotha, Muschio;Zafferano, Oud, Mango;8057714900000;"https://www.fragrantica.it/perfume/Pantheon-Roma/Annone-51368.html;";Italia
nicchia;Mancera;2008;Sinergia tra design moderno e ingredienti mediorientali di potenza.;Instant Crush;Ambrata Floreale;2019;Pierre Montale;120;145;Zafferano, Zenzero, Agrumi;Rosa, Gelsomino, Amberwood;Vaniglia, Sandalo, Muschio;Zafferano, Ambra, Vaniglia;3760260453301;"https://www.fragrantica.it/perfume/Mancera/Instant-Crush-54817.html;";Francia
nicchia;Laboratorio Olfattivo;2009;Officina creativa italiana basata su pura emozione e artigianalità.;Nun;Floreale Marina;2014;Luca Maffei;100;105;Bergamotto, Pera, Neroli;Loto, Gelsomino, Ylang Ylang;Muschio, Note Legnose;Loto, Pera, Muschio;8050043461429;"https://www.fragrantica.it/perfume/Laboratorio-Olfattivo/Nun-28045.html;";Italia
nicchia;Profumum Roma;1996;Maison romana nota per l'altissima concentrazione di oli puri.;Acqua di Sale;Agrumata Marina;1996;Felice Durante;100;250;Sale Marino;Mirto;Alghe Marine, Cedro;Sale Marino, Alghe, Mirto;8024985001150;"https://www.fragrantica.it/perfume/Profumum-Roma/Acqua-di-Sale-3891.html;";Italia
nicchia;Orto Parisi;2014;Alessandro Gualtieri celebra la forza primordiale del mare.;Terroni;Legnosa Orientale Oud;2017;Alessandro Gualtieri;50;155;Lampone;Betulla, Ambra;Vetiver, Muschio, Oud;Note Fumose, Note Terrose, Oud;8717624962450;"https://www.fragrantica.it/perfume/Orto-Parisi/Terroni-45441.html;";Italia
nicchia;Xerjoff;2003;Lusso torinese che unisce arte del profumo e design.;Erba Pura;Floreale Fruttata;2019;Christian Carbonnel;100;245;Arancia, Limone, Bergamotto;Frutti Misti;Vaniglia, Muschio, Ambra;Agrumi Siciliani, Frutti, Vaniglia;8033488156312;"https://www.fragrantica.it/perfume/Xerjoff/Erba-Pura-53820.html;";Italia
nicchia;Francesca Bianchi;2016;Creazioni intime che esplorano il lato carnale delle note.;The Sticky Fingers;Ambrata Legnosa;2020;Francesca Bianchi;30;108;Coriandolo, Cannella;Tabacco, Eliotropio;Patchouli, Cuoio, Sandalo;Patchouli, Tabacco, Cuoio;8719326164214;"https://www.fragrantica.it/perfume/Francesca-Bianchi/The-Sticky-Fingers-60714.html;";Italia/Paesi Bassi
nicchia;Sora Dora;2021;Brand familiare che onora ricette segrete e gourmand complessi.;Mula Mula;Ambrata Dolce - Gourmand;2021;Sora Dora Team;50;165;Pesca, Caramello, Fragola;Zenzero, Pepe Rosa;Vaniglia, Oud, Patchouli;Fragola, Caramello, Oud;3770020120108;"https://www.fragrantica.it/perfume/Sora-Dora/Mula-Mula-67983.html;";Francia
nicchia;Akro;2018;Creato dal maestro Olivier Cresp, si ispira alle dipendenze umane.;Bake;Ambrata Dolce - Gourmand;2023;Olivier Cresp;100;160;Scorza di Limone;Zucchero di Canna, Pralina;Vaniglia, Chantilly;Limone, Zucchero di Canna, Chantilly;3760341110000;"https://www.fragrantica.it/perfume/Akro/Bake-81534.html;";Francia/UK
nicchia;Meo Fusciuni;2010;Profumeria filosofica ispirata ai cicli della natura e solitudine.;Notturno;Legnosa Orientale Oud;2012;Giuseppe Imprezzabile;100;185;Rum, Ananas;Inchiostro, Cuoio;Incenso, Ambra, Betulla;Incenso, Rum, Betulla;8056732380028;"https://www.fragrantica.it/perfume/Meo-Fusciuni/Notturno-16584.html;";Italia
nicchia;Memo Paris;2007;Fragranze ispirate ai viaggi e alle esperienze olfattive.;African Leather;Cuoiata Speziata;2015;Eleanor Massenet;75;235;Cardamomo, Bergamotto;Zafferano, Cumino;Cuoio, Patchouli, Vetiver;Cardamomo, Cuoio, Geranio;3700454013446;"https://www.fragrantica.it/perfume/Memo-Paris/African-Leather-34531.html;";Francia
nicchia;Le Labo;2006;Minimalismo newyorkese con influenze parigine.;Another 13;Floreale Legnosa Muschiata;2010;Nathalie Lorson;50;198;Pera, Mela, Agrumi;Ambretta, Gelsomino;Ambroxan, Muschio, Cetalox;Ambroxan, Muschio, Pera;0842113052012;"https://www.fragrantica.it/perfume/Le-Labo/Another-13-10101.html;";USA
nicchia;Vilhelm Parfumerie;2015;Estetica cinematografica che traduce storie d'amore in profumi.;Poets of Berlin;Ambrata Dolce - Gourmand;2018;Jérôme Epinette;100;225;Mirtillo, Limone;Bambù, Giaggiolo;Vaniglia, Sandalo, Vetiver;Mirtillo, Limone, Vaniglia;3760298540059;"https://www.fragrantica.it/perfume/Vilhelm-Parfumerie/Poets-of-Berlin-48135.html;";USA/Svezia
nicchia;Nasomatto;2007;Fragranze estreme e iconiche per collezionisti.;Sadonaso;Ambrata Cuoiata;2023;Alessandro Gualtieri;30;130;Caffè;Muschio, Tabacco;Ambra, Note Animaliche;Note Animali, Muschio, Ambra;8717624963082;"https://www.fragrantica.it/perfume/Nasomatto/Sadonaso-81206.html;";Paesi Bassi
nicchia;Juliette Has A Gun;2006;Fragranze minimaliste con un’idea concettuale e distintiva.;Not a Perfume;Floreale Muschiata;2010;Romano Ricci;100;125;Cetalox (Mononota);-;-;Cetalox (Ambra Grigia sintetica);3770000002844;"https://www.fragrantica.it/perfume/Juliette-Has-A-Gun/Not-A-Perfume-10296.html;";Francia
nicchia;Milano Fragranze;2020;Racconta i luoghi, la storia e le atmosfere iconiche di Milano.;Piazza Affari;Fougere Aromatica;2022;Cécile Matton;100;125;Lime, Pepe Rosa;Lavanda, Geranio;Vetiver, Guaiaco;Lavanda, Lime, Geranio;8054605170047;"https://www.fragrantica.it/perfume/Milano-Fragranze/Piazza-Affari-73600.html;";Italia
nicchia;Diptyque;1961;Storica maison parigina famosa per eleganza e tessuti.;L'Eau Papier;Floreale Muschiata;2023;Fabrice Pellegrin;100;167;Muschio Bianco;Mimosa;Note di Riso, Legni;Riso, Muschio Bianco, Mimosa;3700431427501;"https://www.fragrantica.it/perfume/Diptyque/L-Eau-Papier-79245.html;";Francia
nicchia;Amouage;1983;Lusso regale con ingredienti esotici e tradizione millenaria.;Interlude Man;Ambrata Speziata;2012;Pierre Negrin;100;345;Origano, Pepe, Bergamotto;Incenso, Ambra, Opoponax;Cuoio, Oud, Patchouli;Incenso, Opoponax, Origano;0701666312116;"https://www.fragrantica.it/perfume/Amouage/Interlude-Man-15454.html;";Oman
nicchia;Zoologist;2013;Profumeria artistica canadese che cattura le peculiarità del regno animale.;Bee;Ambrata Dolce - Gourmand;2019;Cristiano Canali;60;215;Arancia, Sciroppo di Zucchero;Miele, Pappa Reale, Mimosa;Vaniglia, Benzoino, Sandalo;Miele, Cera d'Api, Pappa Reale;0628055270102;"https://www.fragrantica.it/perfume/Zoologist-Perfumes/Bee-58181.html;";Canada
nicchia;Etat Libre d'Orange;2006;Ironia e irriverenza fuse in composizioni olfattive non convenzionali.;You Or Someone Like;Agrumata Aromatica;2017;Caroline Sabas;100;140;Menta, Pompelmo;Cassis, Note Verdi;Muschio Bianco;Menta, Pompelmo, Rosa;3760168591526;"https://www.fragrantica.it/perfume/Etat-Libre-d-Orange/You-Or-Someone-Like-You-43531.html;";Francia
nicchia;Goldfield & Banks;2016;L'essenza spruzzata dal mare sulle rocce australiane soleggiate.;Pacific Rock Moss;Agrumata Marina;2016;François Merle-Baudoin;100;180;Limone, Salvia;Note Marine;Muschio di Quercia, Cedro;Muschio Marino, Salvia, Limone;0638037148560;"https://www.fragrantica.it/perfume/Goldfield-Banks-Australia/Pacific-Rock-Moss-44174.html;";Australia
nicchia;L'Artisan Parf.;1976;Storico pioniere parigino della nicchia, noto per il fascino artigianale.;Passage d'Enfer;Legnosa Orientale Oud;1999;Olivia Giacobetti;100;165;Giglio, Pepe Rosa;Incenso, Aloe Vera;Muschio Bianco, Legno di Cedro;Incenso, Giglio, Muschio Bianco;3660463009581;https://www.fragrantica.it/perfume/L-Artisan-Parfumeur/Passage-d-Enfer-Eau-de-Parfum-64215.html;Francia
nicchia;Nishane;2012;Brand di Istanbul che fonde tradizioni orientali e avanguardia.;Ani;Ambrata Legnosa;2019;Cécile Zarokian;100;315;Zenzero, Bergamotto;Ribes Nero, Rosa, Cardamomo;Vaniglia, Benzoino, Sandalo;Vaniglia, Zenzero, Cardamomo;8681223041130;"https://www.fragrantica.it/perfume/Nishane/Ani-54785.html;";Turchia
nicchia;Carthusia;1380;L'antica eredità dei monaci certosini dell'isola in forma liquida.;A'mmare;Agrumata Marina;2021;Luca Maffei;100;100;Sale, Rosmarino;Note Acquatiche, Menta;Cedro, Muschio, Patchouli;Sale, Rosmarino, Menta;8051772630718;"https://www.fragrantica.it/perfume/Carthusia/A-mmare-66380.html;";Italia
nicchia;Santa Maria Novella;;;L'Iris;Floreale Legnosa Muschiata;2022;SMN Team;100;160;Pepe Rosa, Neroli;Iris, Geranio, Magnolia;Muschio, Ambra Grigia;Iris, Pepe Rosa, Muschio;8054133441015;"https://www.fragrantica.it/perfume/Officina-Profumo-Farmaceutica-di-Santa-Maria-Novella/L-Iris-74148.html;";Italia
nicchia;The Harmonist;2013;Ispirato alla filosofia del Feng Shui e all'equilibrio degli elementi naturali.;Hypnotizing Fire;Ambrata Speziata;2015;Guillaume Flavigny;50;250;Pepe del Sichuan;Rosa Bulgara, Patchouli;Vaniglia, Benzoino;Vaniglia, Benzoino, Pepe Rosa;3701143500052;"https://www.fragrantica.it/perfume/The-Harmonist/Hypnotizing-Fire-35804.html;";USA/Francia
nicchia;Andrea Maack;2010;Brand islandese che fonde arte visiva e fragranze molecolari d'avanguardia.;Entrance;Legnosa Speziata;2021;Andrea Maack;50;145;Bergamotto, Pepe Rosa;Zafferano, Ambra;Vetiver, Patchouli;Zafferano, Bergamotto, Patchouli;5694300371018;"https://www.fragrantica.it/perfume/Andrea-Maack/Entrance-69632.html;";Islanda
nicchia;Filippo Sorcinelli;2013;Naso eclettico che unisce arte sacra, musica e spiritualità.;Lavs;Legnosa Orientale Oud;2014;Filippo Sorcinelli;100;195;Pepe Nero, Cardamomo;Coriandolo, Chiodi di Garofano;Incenso, Oppoponax, Labdano;Incenso, Opoponax, Ambra;8058455170014;"https://www.fragrantica.it/perfume/Filippo-Sorcinelli/LAVS-30510.html;";Italia
nicchia;Serge Lutens;1962;Iconica maison parigina con fragranze profonde e narrative.;Ambre Sultan;Ambrata Speziata;1993;Christopher Sheldrake;50;135;Coriandolo, Sandalo;Ambra, Origano;Patchouli, Mirto, Benzoino;Ambra, Resine, Origano;3700358123182;"https://www.fragrantica.it/perfume/Serge-Lutens/Ambre-Sultan-2760.html;";Francia
nicchia;Aesop;2005*;Eccellenza botanica australiana focalizzata su ingredienti naturali e minimalismo.;Hwyl;Legnosa;2017;Barnabé Fillion;50;120;Spezie, Timo;Cipresso;Vetiver, Incenso, Muschio;Cipresso, Incenso, Vetiver;9319944012140;"https://www.fragrantica.it/perfume/Aesop/Hwyl-46394.html;";Australia
nicchia;Obvious Parfums;2020;Sostenibilità ed essenzialità in una vaniglia moderna e pulita.;Une Vanille;Ambrata Dolce - Gourmand;2020;Anne-Sophie Behaghel;100;110;Fava Tonka;Vaniglia;Muschio Bianco;Vaniglia, Fava Tonka, Muschio;3770016668027;"https://www.fragrantica.it/perfume/Obvious/Une-Vanille-63045.html;";Francia
nicchia;Coreterno;2019;Estetica punk e simbolismo antico in fragranze di rottura.;Hierba Nera;Agrumata Aromatica;2019;Luca Maffei;100;165;Bergamotto, Note Verdi;Labdano, Pepe Nero;Cedro, Muschio, Vetiver;Canapa, Note Verdi, Ambra;8054605151015;"https://www.fragrantica.it/perfume/Coreterno/Hierba-Nera-56540.html;";Italia
nicchia;Parfums de Marly;2009;Lusso francese con omaggio all’epoca di Luigi XV.;Layton;Fougere Ambrata Dolce;2016;Hamid Merati-Kashani;125;250;Mela, Lavanda, Mandarino;Geranio, Violetta, Gelsomino;Vaniglia, Cardamomo, Sandalo;Mela, Lavanda, Vaniglia;3700578518005;"https://www.fragrantica.it/perfume/Parfums-de-Marly/Layton-40158.html;";Francia
nicchia;Xerjoff;2003;Lusso torinese che unisce arte del profumo e design.;Alexandria II;Legnosa Orientale Oud;2012;Chris Maurice;50;325;Lavanda, Palissandro;Rosa, Cedro, Mughetto;Oud, Vaniglia, Ambra;Palissandro, Lavanda, Oud, Sandalo;8033488155551;"https://www.fragrantica.it/perfume/Xerjoff/Alexandria-II-17787.html;";Italia
nicchia;Maison F. Kurkdjian;2009;Maison d’alta profumeria parigina fondata nel 2009, sinonimo di eleganza senza tempo.;Gentle Fluidity Gold;Ambrata Legnosa;2019;Francis Kurkdjian;70;195;Bacche di Ginepro;Coriandolo, Noce Moscata;Vaniglia, Ambra, Legni;Vaniglia, Ambra, Bacche di Ginepro;3700559605806;"https://www.fragrantica.it/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Gold-53244.html;";Francia
nicchia;Pierre Guillaume;2002;Indipendenza creativa francese che esplora nuove tecniche di estrazione.;Le Musc & La Peau;Floreale Muschiata;2016;Pierre Guillaume;100;160;Aldeidi, Rosmarino;Ylang-Ylang, Sandalo;Muschio, Fava Tonka;Muschio Bianco, Rosmarino, Sandalo;3760139150035;"https://www.fragrantica.it/perfume/Pierre-Guillaume-Paris/Le-Musc-La-Peau-4-1-36031.html;";Francia
nicchia;Nishane;2012;Brand di Istanbul che fonde tradizioni orientali e avanguardia.;Hacivat;Chypre Fruttata;2017;Jorge Lee;50;215;Bergamotto, Ananas;Patchouli, Cedro;Muschio di Quercia;Ananas, Pompelmo, Muschio Quercia;8681223041079;"https://www.fragrantica.it/perfume/Nishane/Hacivat-44791.html;";Turchia
nicchia;Byredo;2006;Brand minimalista con fragranze evanescenti e artigianali.;Bal d'Afrique;Ambrata Agrumata;2009;Jérôme Epinette;50;155;Limone, Tagete, Bergamotto;Violetta, Ciclamino;Vetiver, Muschio, Ambra;Bergamotto, Neroli, Ambra;7340032806038;"https://www.fragrantica.it/perfume/Byredo/Bal-d-Afrique-6458.html;";Svezia
nicchia;Nasomatto;2007;Fragranze estreme e iconiche per collezionisti.;Baraonda;Ambrata Dolce - Gourmand;2016;Alessandro Gualtieri;30;130;Note di Whisky;Note Legnose;Frutta Secca, Muschio;Whisky, Note Legnose, Muschio;8717624962252;"https://www.fragrantica.it/perfume/Nasomatto/Baraonda-40200.html;";Paesi Bassi
nicchia;Escentric Molecules;2006;Rivoluzione minimalista basata sull'uso di singole molecole sintetiche.;Molecule 01;Legnosa;2006;Geza Schoen;100;135;Iso E Super (Mononota);-;-;Iso E Super;5060103310029;"https://www.fragrantica.it/perfume/Escentric-Molecules/Molecule-01-845.html;";Germania/UK
nicchia;Thomas Kosmala;2014;Bilancia purezza sintetica e calore ambrato contemporaneo.;No. 4 Après l'Amour;Floreale Legnosa Muschiata;2018;Thomas Kosmala;100;160;Scorza di Limone;Spezie Aromatiche;Note Legnose, Muschio;Ambroxan, Muschio, Scorza di Limone;0752830847704;"https://www.fragrantica.it/perfume/Thomas-Kosmala/No-4-Apres-l-Amour-51594.html;";Francia/USA
nicchia;New Notes;2022;Contrasti vibranti tra agrumi frizzanti e molecole legnose moderne.;Akigala Mandarino;Agrumata Legnosa;2023;New Notes Team;50;170;Mandarino, Lampone;Fiori Bianchi;Akigalawood, Ambra;Mandarino, Akigalawood, Ambra;8054605141016;"https://www.fragrantica.it/perfume/New-Notes/Akigala-Mandarino-79258.html;";Italia
nicchia;Diptyque;1961;Storica maison parigina famosa per eleganza e tessuti.;Philosykos;Legnosa Fruttata;1996;Olivia Giacobetti;75;165;Foglia di Fico;Cocco;Cedro, Albero di Fico;Fico, Foglia di Fico, Cedro;3700431415447;"https://www.fragrantica.it/perfume/Diptyque/Philosykos-3865.html;";Francia
nicchia;Matiere Premiere;2019;La rosa centifolia di Grasse sovraccaricata in modo brutale.;Radical Rose;Monofloreale;2020;Aurélien Guichard;100;240;Pepe Rosa, Zafferano;Rosa Centifolia;Patchouli, Cisto;Rosa Centifolia, Zafferano, Cisto;3760273750237;"https://www.fragrantica.it/perfume/Matiere-Premiere/Radical-Rose-63470.html;";Francia
nicchia;Acqua dell'Elba;2000;L'essenza marina e botanica tipica dell'Isola d'Elba.;Classica;Agrumata Marina;2000;Team Interno;100;85;Mandarino, Limone;Mirto, Gardenia;Macchia Mediterranea;Fiori di Mare, Gardenia, Legni di Macchia;8033210340059;"https://www.fragrantica.it/perfume/Acqua-dell-Elba/Classica-Men-13009.html;";Italia
